arquivo_router;metodo;rota;funcao
analytics.py;GET;/candidate-analytics;get_candidate_analytics
analytics.py;GET;/candidate-analytics/{id_teste};get_candidate_analytics_detail
analytics.py;GET;/reports/processes;get_process_report
analytics.py;GET;/reports/processes/export;export_process_report
analytics.py;GET;/reports/candidates;get_candidate_report
analytics.py;GET;/reports/candidates/export;export_candidate_report
auth.py;POST;/login;login
auth.py;GET;/me;me
auth.py;POST;/logout;logout
email_inbox.py;GET;/email-inbox/status;get_email_inbox_status
email_inbox.py;GET;/email-inbox/messages;list_email_inbox_messages
email_inbox.py;GET;/email-inbox/messages/{item_id};get_email_inbox_message
email_inbox.py;POST;/email-inbox/messages/{item_id}/download-attachments;download_email_inbox_attachments
email_inbox.py;POST;/email-inbox/messages/{item_id}/analyze-cv;analyze_email_inbox_cv
email_inbox.py;POST;/email-inbox/messages/{item_id}/link-process;link_email_inbox_to_process
email_inbox.py;POST;/email-inbox/messages/{item_id}/talent-bank;send_email_inbox_to_talent_bank
email_inbox.py;POST;/email-inbox/messages/{item_id}/ignore;ignore_email_inbox_item
email_inbox.py;DELETE;/email-inbox/messages/{item_id};delete_email_inbox_item
email_inbox.py;GET;/email-inbox/messages/{item_id}/attachment;get_primary_email_inbox_attachment
email_inbox.py;GET;/email-inbox/messages/{item_id}/attachment/{attachment_id};get_email_inbox_attachment
history.py;GET;/history;get_history
history.py;POST;/history;save_history
history.py;GET;/answer-files;get_answer_files
history.py;POST;/answer-files;save_answer_file
interviews.py;GET;/interviews;get_interviews
interviews.py;GET;/interview-slots;get_interview_slots
interviews.py;POST;/interview-slots;create_interview_slots
interviews.py;PUT;/interview-slots/{id_slot};update_interview_slot
interviews.py;DELETE;/interview-slots/{id_slot};delete_interview_slot
interviews.py;POST;/interviews;create_interview
interviews.py;PUT;/interviews/{id_entrevista};update_interview
pipeline.py;GET;/candidate-pipeline;get_candidate_pipeline
pipeline.py;POST;/candidate-pipeline;create_candidate_pipeline_card
pipeline.py;PUT;/candidate-pipeline/{id_registro}/stage;move_candidate_pipeline_card
pipeline.py;DELETE;/candidate-pipeline/{id_registro};delete_candidate_pipeline_card
processes.py;GET;/processes;get_processes
processes.py;POST;/processes;create_process
processes.py;PUT;/processes/{id_processo};update_process
processes.py;POST;/processes/{id_processo}/close;close_process
processes.py;GET;/process-candidates;get_process_candidates
processes.py;POST;/process-candidates;create_process_candidate
processes.py;PUT;/process-candidates/{id_registro}/status;update_process_candidate_status
processes.py;POST;/process-candidates/{id_registro}/approval-whatsapp;record_approval_whatsapp
processes.py;POST;/process-candidates/{id_registro}/approval-email;send_approval_email
processes.py;GET;/talent-bank;get_talent_bank
processes.py;POST;/talent-bank;create_talent_bank_candidate
processes.py;DELETE;/talent-bank/{id_banco};delete_talent_bank_candidate
processes.py;POST;/talent-bank/{id_banco}/use;use_talent_bank_candidate
processes.py;PUT;/candidate-profiles/{id_teste};update_candidate_profile
processes.py;PUT;/candidate-profiles/{id_teste}/status;update_standalone_candidate_status
processes.py;GET;/processes/{id_processo}/details;get_process_details
processes.py;GET;/email-inbox;list_email_inbox
processes.py;GET;/email-inbox/{item_id};get_email_inbox_item
processes.py;POST;/email-inbox/{item_id}/analyze-cv;analyze_email_inbox_cv
processes.py;POST;/email-inbox/{item_id}/link-process;link_email_inbox_to_process
processes.py;POST;/email-inbox/{item_id}/talent-bank;send_email_inbox_to_talent_bank
processes.py;POST;/email-inbox/{item_id}/ignore;ignore_email_inbox_item
processes.py;GET;/processes/{id_processo}/email-inbox;list_process_email_inbox
processes.py;POST;/processes/{id_processo}/email-inbox/analyze-cv;analyze_process_email_cv
processes.py;POST;/processos/{id_processo}/gerar-link-candidatura;generate_public_application_link
processes.py;PATCH;/processos/{id_processo}/link-candidatura/desativar;deactivate_public_application_link
processes.py;GET;/candidate-profiles/{id_teste}/cv;download_candidate_cv
processes.py;POST;/candidate-profiles/{id_teste}/analyze-cv;analyze_candidate_profile_cv
processes.py;GET;/processes/{id_processo}/cv-pre-analyses;list_cv_pre_analyses
processes.py;POST;/processes/{id_processo}/cv-pre-analyses/clear-list;clear_cv_pre_analyses_list
processes.py;POST;/processes/{id_processo}/cv-pre-analyses;create_cv_pre_analysis
processes.py;PUT;/cv-pre-analyses/{id_pre_analise};update_cv_pre_analysis
processes.py;DELETE;/cv-pre-analyses/{id_pre_analise};delete_cv_pre_analysis
processes.py;POST;/cv-pre-analyses/{id_pre_analise}/add-to-process;add_cv_pre_analysis_to_process
processes.py;POST;/cv-pre-analyses/{id_pre_analise}/talent-bank;add_cv_pre_analysis_to_talent_bank
public_candidacy.py;GET;/public/candidatura/{slug};get_public_application
public_candidacy.py;POST;/public/candidatura/{slug}/enviar;submit_public_application
system.py;GET;/;root
system.py;GET;/debug/gabaritos-columns;debug_gabaritos_columns
system.py;GET;/debug/historico-provas-columns;debug_historico_provas_columns
